"Hotels","Hotel ID","City","URL"
"Alma Histórica Boutique Hotel","1270306","Montevideo","https://www.booking.com/hotel/uy/alma-historica-boutique.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alma Serena","6923087","La Paloma","https://www.booking.com/hotel/uy/alma-serena.en.html?aid=2410095&no_rooms=1&group_adults=2"
"ALMA VERDE BUNGALOWS","9319527","La Paloma","https://www.booking.com/hotel/uy/alma-verde-bungalows.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Almagicama","10705549","Lavalleja","https://www.booking.com/hotel/uy/almagicama.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Almalu 2","8120391","Araminda","https://www.booking.com/hotel/uy/almalu-2.en.html?aid=2410095&no_rooms=1&group_adults=2"
"ALMAR- Punta Rubia, La Pedrera","4121499","Punta Rubia","https://www.booking.com/hotel/uy/almar-punta-rubia-la-pedrera.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Almarena, tu casa en Punta del Este","7674452","El Chorro","https://www.booking.com/hotel/uy/almarena-tu-casa-en-punta-del-este.en.html?aid=2410095&no_rooms=1&group_adults=2"
"ALÓ!","11112566","Arachania","https://www.booking.com/hotel/uy/alo.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Aloe Village Aparthotel & Spa","344578","La Paloma","https://www.booking.com/hotel/uy/aloe-village-apart.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Aloft Montevideo Hotel","2582364","Montevideo","https://www.booking.com/hotel/uy/aloft-montevideo.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Aloha Village","442923","La Pedrera","https://www.booking.com/hotel/uy/aloha-village.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamiento a 50mts de la playa!","11210752","Punta del Este","https://www.booking.com/hotel/uy/alojamiento-a-50mts-de-la-playa.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamiento Barrio Sur","8068472","Colonia Del Sacramento","https://www.booking.com/hotel/uy/alojamientobarriosur.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamiento Chalet en Piriápolis.","9495676","Piriápolis","https://www.booking.com/hotel/uy/alojamiento-chalet-en-piriapolis.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamiento Chalet en Piriápolis.","9530808","Piriápolis","https://www.booking.com/hotel/uy/alojamiento-chalet-en-piriapolis-piriapolis.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamiento Corazon de Ballena","2070472","Cabo Polonio","https://www.booking.com/hotel/uy/hostal-la-rueda.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamiento en Aguas Dulces","11014000","Aguas Dulces","https://www.booking.com/hotel/uy/alojamiento-en-aguas-dulces.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamiento en Pinares","11236443","Maldonado","https://www.booking.com/hotel/uy/alojamiento-en-pinares.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamiento en Punta del Este con vista al mar","11353655","Maldonado","https://www.booking.com/hotel/uy/alojamiento-en-punta-del-este-con-vista-al-mar.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamiento en Tacuarembó","9710349","Tacuarembó","https://www.booking.com/hotel/uy/patria-gaucha-en-tacuarembo.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamiento LA TUNA","6804025","La Tuna","https://www.booking.com/hotel/uy/alojamiento-la-tuna.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamiento lindo en Oferta","11391733","Punta del Este","https://www.booking.com/hotel/uy/alojamiento-lindo-en-oferta.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamiento playa mansa","9985164","Atlántida","https://www.booking.com/hotel/uy/alojamiento-playa-mansa.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamiento playa mansa 096245748","9985006","Atlántida","https://www.booking.com/hotel/uy/alojamiento-playa-mansa-096245748.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alojamientos - Valle de la Luna en Rocha, Uruguay","8405557","Punta Rubia","https://www.booking.com/hotel/uy/casa-familiar-en-punta-rubia-uruguay-punta-rubia1.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alpes Hotel","1687058","Punta del Este","https://www.booking.com/hotel/uy/alpes.en.html?aid=2410095&no_rooms=1&group_adults=2"
"alpinas lapaloma","1291366","La Paloma","https://www.booking.com/hotel/uy/alpinas-pilmaiquen.en.html?aid=2410095&no_rooms=1&group_adults=2"
"ALQUILA una LINDA CASITA NUEVA, CON AMPLIO TERRENO PROPIO","10059854","Colonia del Sacramento","https://www.booking.com/hotel/uy/alquila-una-linda-casita-nueva-con-amplio-terreno-propio.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler Apto Punta Del Este","11395610","Punta del Este","https://www.booking.com/hotel/uy/alquiler-apto-punta-del-este.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler casa Rocha la paloma para 4 personas","11276146","La Paloma","https://www.booking.com/hotel/uy/alquiler-casa-rocha-la-paloma-para-4-personas.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler de Gran Casa con Piscina en Ciudad de la Costa","7955210","Ciudad de la Costa","https://www.booking.com/hotel/uy/casa-con-piscina-en-solymar.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler De Verano Costa Azul","9261894","Antoniópolis","https://www.booking.com/hotel/uy/alquiler-de-verano-costa-azul.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler de Verano en Rocha, La Paloma","9177083","La Paloma","https://www.booking.com/hotel/uy/alquiler-de-verano-en-rocha-la-paloma.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler en punta del este 1202","11298010","Punta del Este","https://www.booking.com/hotel/uy/alquiler-en-punta-del-este-1202.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler Habitación Independiente en el centro de José Ignacio!","7901331","José Ignacio","https://www.booking.com/hotel/uy/alquiler-habitacion-independiente-en-el-centro-de-jose-ignacio.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler Piriapolis","11279123","Punta del Este","https://www.booking.com/hotel/uy/alquiler-piriapolis.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler temporada casa 6 pers.","11281558","La Paloma","https://www.booking.com/hotel/uy/alquiler-temporada-casa-6-pers.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler temporada casa 6 pers.","11281646","La Paloma","https://www.booking.com/hotel/uy/alquiler-temporada-casa-6-pers-la-paloma.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler temporal Colonia del Sacramento","9241482","Colonia del sacramento","https://www.booking.com/hotel/uy/alquiler-temporal-colonia-del-sacramento.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler temporario balneario Los Titanes","11380202","Canelones Los Titanes","https://www.booking.com/hotel/uy/alquiler-temporario-balneario-los-titanes.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler temporario balneario Los Titanes","11380992","Canelones Los Titanes","https://www.booking.com/hotel/uy/alquiler-temporario-balneario-los-titanes-canelones-los-titanes.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquiler, Casa, Piriápolis, Fin De Semana, O Vacaciones","10936703","Piriapolis","https://www.booking.com/hotel/uy/alquiler-casa-piriapolis-fin-de-semana-o-vacaciones.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquileres en Piriápolis Coriman & Luz de Luna","1993112","Piriápolis","https://www.booking.com/hotel/uy/coriman-y-luz-de-luna.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquileres Piriapolis","2671285","Piriápolis","https://www.booking.com/hotel/uy/alquileres-piriapolis.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquilo apartamento en Pocitos","9557467","Montevideo","https://www.booking.com/hotel/uy/alquilo-apartamento-en-el-corazon-de-pocitos.en.html?aid=2410095&no_rooms=1&group_adults=2"
"alquilohabitaciones","10823464","Montevideo","https://www.booking.com/hotel/uy/alquilohabitaciones.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquimia Posada","633069","Guichon","https://www.booking.com/hotel/uy/alquimia-spa-y-posada.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alquimista Montevideo","2280117","Montevideo","https://www.booking.com/hotel/uy/alquimista-montevideo.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altamar Casas de Playa","2158346","La Paloma","https://www.booking.com/hotel/uy/altamar-casas-de-playa.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altamira 1","11411515","Punta Ballena","https://www.booking.com/hotel/uy/altamira-punta-ballena.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altamira 2","11375721","Punta Ballena","https://www.booking.com/hotel/uy/altamira.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altillo Valizas","2161366","Barra de Valizas","https://www.booking.com/hotel/uy/apartamento-venus.en.html?aid=2410095&no_rooms=1&group_adults=2"
